filepath,true_label,predicted,confidence,correct
data/processed/test/Cat/9296.jpg,Cat,Cat,0.9622,True
data/processed/test/Cat/4423.jpg,Cat,Cat,0.6714,True
data/processed/test/Dog/3805.jpg,Dog,Dog,0.8203,True
data/processed/test/Dog/6034.jpg,Dog,Dog,0.9097,True
data/processed/test/Dog/5005.jpg,Dog,Dog,0.9594,True
data/processed/test/Dog/10100.jpg,Dog,Dog,0.8419,True
data/processed/test/Cat/10734.jpg,Cat,Cat,0.7564,True
data/processed/test/Dog/7207.jpg,Dog,Dog,1.0,True
data/processed/test/Cat/7866.jpg,Cat,Cat,0.9599,True
data/processed/test/Cat/9521.jpg,Cat,Dog,0.9833,False
data/processed/test/Cat/3266.jpg,Cat,Dog,0.9782,False
data/processed/test/Dog/65.jpg,Dog,Dog,0.9767,True
data/processed/test/Cat/2979.jpg,Cat,Cat,0.9995,True
data/processed/test/Dog/8313.jpg,Dog,Dog,0.9996,True
data/processed/test/Dog/4102.jpg,Dog,Dog,0.9729,True
data/processed/test/Cat/1901.jpg,Cat,Dog,0.9829,False
data/processed/test/Cat/12049.jpg,Cat,Cat,0.7359,True
data/processed/test/Dog/1799.jpg,Dog,Dog,0.8051,True
data/processed/test/Cat/6533.jpg,Cat,Cat,0.9993,True
data/processed/test/Dog/10963.jpg,Dog,Dog,0.9773,True
